query_index	target_index	pair_id	raw_sw_score	aligned_pairs	coverage_query	coverage_target	coverage_mean	identity	rmsd	tm_score_query	tm_score_target	lddt	lddt_byA	lddt_byB	lddt_aln	coverage_byA	coverage_byB	ecs	fasta_path	pdb_path
2	3	0003_1MBA_A_model1__0004_1MBO_A_model1	280.284	143	0.979452	0.934641	0.956522	0.251748	1.99772	0.841218	0.807522	0.710399	0.730727	0.690071	0.751935	0.971796	0.917135	NA	demo/results/all-vs-all-mpnn/alignments/0003_1MBA_A_model1__0004_1MBO_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0003_1MBA_A_model1__0004_1MBO_A_model1.pdb
2	4	0003_1MBA_A_model1__0005_1MYT_A_model1	275.759	139	0.952055	0.952055	0.952055	0.244604	2.03119	0.818444	0.818444	0.697118	0.695628	0.698608	0.748651	0.929176	0.944931	NA	demo/results/all-vs-all-mpnn/alignments/0003_1MBA_A_model1__0005_1MYT_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0003_1MBA_A_model1__0005_1MYT_A_model1.pdb
2	5	0003_1MBA_A_model1__0006_1REX_A_model1	49.3008	121	0.828767	0.930769	0.876812	0.0413223	14.0969	0.143026	0.147831	0.292702	0.280633	0.30477	0.404837	0.6932	0.913799	NA	demo/results/all-vs-all-mpnn/alignments/0003_1MBA_A_model1__0006_1REX_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0003_1MBA_A_model1__0006_1REX_A_model1.pdb
2	6	0003_1MBA_A_model1__0007_1RNH_A_model1	48.9058	112	0.767123	0.741722	0.754209	0.0803571	15.0184	0.132814	0.1316	0.172902	0.178471	0.167334	0.286469	0.623002	0.574085	NA	demo/results/all-vs-all-mpnn/alignments/0003_1MBA_A_model1__0007_1RNH_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0003_1MBA_A_model1__0007_1RNH_A_model1.pdb
2	7	0003_1MBA_A_model1__0008_2LYZ_A_model1	47.1527	120	0.821918	0.930233	0.872727	0.0666667	13.9706	0.141121	0.145494	0.284474	0.274052	0.294896	0.402624	0.680664	0.874326	NA	demo/results/all-vs-all-mpnn/alignments/0003_1MBA_A_model1__0008_2LYZ_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0003_1MBA_A_model1__0008_2LYZ_A_model1.pdb
2	8	0003_1MBA_A_model1__0009_2NRL_A_model1	275.032	139	0.952055	0.958621	0.955326	0.251799	1.97557	0.827905	0.832943	0.701725	0.695707	0.707744	0.757679	0.918207	0.953189	NA	demo/results/all-vs-all-mpnn/alignments/0003_1MBA_A_model1__0009_2NRL_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0003_1MBA_A_model1__0009_2NRL_A_model1.pdb
3	4	0004_1MBO_A_model1__0005_1MYT_A_model1	319.924	146	0.954248	1	0.976589	0.438356	1.25122	0.902171	0.943308	0.847673	0.821989	0.873357	0.876736	0.937555	1	NA	demo/results/all-vs-all-mpnn/alignments/0004_1MBO_A_model1__0005_1MYT_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0004_1MBO_A_model1__0005_1MYT_A_model1.pdb
3	5	0004_1MBO_A_model1__0006_1REX_A_model1	46.6736	110	0.718954	0.846154	0.777385	0.0363636	15.3855	0.0922751	0.0950303	0.220046	0.204572	0.23552	0.358718	0.570287	0.754344	NA	demo/results/all-vs-all-mpnn/alignments/0004_1MBO_A_model1__0006_1REX_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0004_1MBO_A_model1__0006_1REX_A_model1.pdb
3	6	0004_1MBO_A_model1__0007_1RNH_A_model1	47.7932	120	0.784314	0.794702	0.789474	0.05	14.9745	0.149467	0.150138	0.21527	0.21937	0.21117	0.341747	0.641906	0.664188	NA	demo/results/all-vs-all-mpnn/alignments/0004_1MBO_A_model1__0007_1RNH_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0004_1MBO_A_model1__0007_1RNH_A_model1.pdb
3	7	0004_1MBO_A_model1__0008_2LYZ_A_model1	44.9021	109	0.712418	0.844961	0.77305	0.0183486	15.2176	0.0920733	0.0949279	0.216537	0.202279	0.230795	0.362599	0.557857	0.75438	NA	demo/results/all-vs-all-mpnn/alignments/0004_1MBO_A_model1__0008_2LYZ_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0004_1MBO_A_model1__0008_2LYZ_A_model1.pdb
3	8	0004_1MBO_A_model1__0009_2NRL_A_model1	312.777	145	0.947712	1	0.973154	0.427586	1.41428	0.88643	0.932515	0.814086	0.783294	0.844879	0.845877	0.926014	1	NA	demo/results/all-vs-all-mpnn/alignments/0004_1MBO_A_model1__0009_2NRL_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0004_1MBO_A_model1__0009_2NRL_A_model1.pdb
4	5	0005_1MYT_A_model1__0006_1REX_A_model1	49.694	114	0.780822	0.876923	0.826087	0.0964912	15.4908	0.116683	0.119145	0.235043	0.225282	0.244804	0.323015	0.697434	0.824532	NA	demo/results/all-vs-all-mpnn/alignments/0005_1MYT_A_model1__0006_1REX_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0005_1MYT_A_model1__0006_1REX_A_model1.pdb
4	6	0005_1MYT_A_model1__0007_1RNH_A_model1	49.0004	117	0.80137	0.774834	0.787879	0.0598291	17.6466	0.103049	0.102377	0.186661	0.194618	0.178704	0.291199	0.668335	0.71024	NA	demo/results/all-vs-all-mpnn/alignments/0005_1MYT_A_model1__0007_1RNH_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0005_1MYT_A_model1__0007_1RNH_A_model1.pdb
4	7	0005_1MYT_A_model1__0008_2LYZ_A_model1	48.1723	101	0.691781	0.782946	0.734545	0.0792079	14.4483	0.110508	0.114618	0.196982	0.188439	0.205526	0.346519	0.543805	0.653302	NA	demo/results/all-vs-all-mpnn/alignments/0005_1MYT_A_model1__0008_2LYZ_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0005_1MYT_A_model1__0008_2LYZ_A_model1.pdb
4	8	0005_1MYT_A_model1__0009_2NRL_A_model1	347.402	145	0.993151	1	0.996564	0.97931	1.02331	0.961572	0.968032	0.923357	0.915911	0.930804	0.923423	0.991865	1	NA	demo/results/all-vs-all-mpnn/alignments/0005_1MYT_A_model1__0009_2NRL_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0005_1MYT_A_model1__0009_2NRL_A_model1.pdb
5	6	0006_1REX_A_model1__0007_1RNH_A_model1	40.3514	86	0.661538	0.569536	0.6121	0.139535	13.6195	0.125601	0.119917	0.142366	0.15494	0.129791	0.353341	0.438501	0.41476	NA	demo/results/all-vs-all-mpnn/alignments/0006_1REX_A_model1__0007_1RNH_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0006_1REX_A_model1__0007_1RNH_A_model1.pdb
5	7	0006_1REX_A_model1__0008_2LYZ_A_model1	329.768	129	0.992308	1	0.996139	0.604651	0.70355	0.967361	0.974668	0.947053	0.945656	0.94845	0.950839	0.994549	1	NA	demo/results/all-vs-all-mpnn/alignments/0006_1REX_A_model1__0008_2LYZ_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0006_1REX_A_model1__0008_2LYZ_A_model1.pdb
5	8	0006_1REX_A_model1__0009_2NRL_A_model1	47.8283	113	0.869231	0.77931	0.821818	0.0973451	15.2211	0.125583	0.122718	0.228774	0.238416	0.219133	0.298528	0.798637	0.683946	NA	demo/results/all-vs-all-mpnn/alignments/0006_1REX_A_model1__0009_2NRL_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0006_1REX_A_model1__0009_2NRL_A_model1.pdb
6	7	0007_1RNH_A_model1__0008_2LYZ_A_model1	39.9339	83	0.549669	0.643411	0.592857	0.0963855	13.7069	0.0929202	0.0964096	0.118589	0.109482	0.127695	0.311432	0.351545	0.409367	NA	demo/results/all-vs-all-mpnn/alignments/0007_1RNH_A_model1__0008_2LYZ_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0007_1RNH_A_model1__0008_2LYZ_A_model1.pdb
6	8	0007_1RNH_A_model1__0009_2NRL_A_model1	46.306	116	0.768212	0.8	0.783784	0.0775862	16.3394	0.111273	0.112216	0.19095	0.182637	0.199262	0.273214	0.668478	0.636192	NA	demo/results/all-vs-all-mpnn/alignments/0007_1RNH_A_model1__0009_2NRL_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0007_1RNH_A_model1__0009_2NRL_A_model1.pdb
7	8	0008_2LYZ_A_model1__0009_2NRL_A_model1	46.5976	89	0.689922	0.613793	0.649635	0.0786517	13.3838	0.110808	0.106727	0.166333	0.173854	0.158812	0.307143	0.566038	0.443292	NA	demo/results/all-vs-all-mpnn/alignments/0008_2LYZ_A_model1__0009_2NRL_A_model1.fasta	demo/results/all-vs-all-mpnn/pdb/0008_2LYZ_A_model1__0009_2NRL_A_model1.pdb
